Title,Link
十二指肠溃疡,https://jbk.39.net/sezcky/
急性胰腺炎,https://jbk.39.net/jxyxy/
肾囊肿,https://jbk.39.net/snz/
萎缩性胃炎,https://jbk.39.net/wsxwy/
帕金森,https://jbk.39.net/pjs/
心悸,https://jbk.39.net/zhengzhuang/xj/
植物神经紊乱,https://jbk.39.net/zwsjgnwl/
淋巴癌,https://jbk.39.net/lba/
胃炎,https://jbk.39.net/wy2/
小儿急性支气管炎,https://jbk.39.net/xejxzqgy/
甲减,https://jbk.39.net/jzxgnjt/
支气管扩张,https://jbk.39.net/zqgkz/
结肠炎,https://jbk.39.net/jcy/
发烧,https://jbk.39.net/zhengzhuang/fs/
脂溢性皮炎,https://jbk.39.net/zyxpy/
肾病综合征,https://jbk.39.net/sbzhz/
甲状腺结节,https://jbk.39.net/zhengzhuang/jzxjj/
老年痴呆症,https://jbk.39.net/aechmb/
支气管炎,https://jbk.39.net/zqgy/
心律失常,https://jbk.39.net/xlsc/
骨关节炎,https://jbk.39.net/ggjy/
胆汁返流性胃炎,https://jbk.39.net/dzflxwy/
糖尿病,https://jbk.39.net/tnb/
窦性心动过速,https://jbk.39.net/dxxdgs/
气管炎,https://jbk.39.net/qgy1/
先天性心脏病,https://jbk.39.net/xtxxzb/
肠炎,https://jbk.39.net/cy/
直肠息肉,https://jbk.39.net/zcxr/
胸痛,https://jbk.39.net/zhengzhuang/xt1/
月经稀少,https://jbk.39.net/zhengzhuang/yjxs/
禽流感,https://jbk.39.net/qlg/
上腹部疼痛,https://jbk.39.net/zhengzhuang/sfbtt/
急性阑尾炎,https://jbk.39.net/jxlwy/
阑尾炎,https://jbk.39.net/lwy/
慢性胰腺炎,https://jbk.39.net/mxyxy/
酒精肝,https://jbk.39.net/jjxgb/
高尿酸血症,https://jbk.39.net/gnsxz/
窦性心动过缓,https://jbk.39.net/dxxdgh/
慢性浅表性胃炎,https://jbk.39.net/mxqbxwy/
再生障碍性贫血,https://jbk.39.net/zszaxpx/
食物中毒,https://jbk.39.net/swzd/
脑梗死,https://jbk.39.net/ngs1/
风湿性心脏病,https://jbk.39.net/fsxxzb/
小儿厌食症,https://jbk.39.net/xeysz/
黄疸,https://jbk.39.net/hd/
下巴长痘,https://jbk.39.net/zhengzhuang/xbzd/
糖尿病和高血压,https://jbk.39.net/tnbhgxy/
风寒感冒,https://jbk.39.net/fhgm/
颈椎病,https://jbk.39.net/jzb/
血压高,https://jbk.39.net/zhengzhuang/xyg/
2型糖尿病,https://jbk.39.net/iixtnb/
心脏神经官能症,https://jbk.39.net/xzsjgnz/
尿道结石,https://jbk.39.net/ndjs/
恶心与呕吐,https://jbk.39.net/zhengzhuang/exyot/
腮腺炎,https://jbk.39.net/sxy/
甲状腺瘤,https://jbk.39.net/jzxxl/
肝纤维化,https://jbk.39.net/gxwh/
小儿哮喘,https://jbk.39.net/xexc/
下肢静脉曲张,https://jbk.39.net/xzjmqz/
淋巴瘤,https://jbk.39.net/lbl/
白色念珠菌感染,https://jbk.39.net/zhengzhuang/bsnzjgr/
消化性溃疡,https://jbk.39.net/xhxky/
支原体肺炎,https://jbk.39.net/zytfy/
百日咳,https://jbk.39.net/brk/
支气管肺炎,https://jbk.39.net/zqgfy/
面瘫,https://jbk.39.net/mt/
腹胀,https://jbk.39.net/zhengzhuang/fz/
血压低,https://jbk.39.net/zhengzhuang/xyd/
急性胃炎,https://jbk.39.net/jxwy/
气胸,https://jbk.39.net/qx/
胃下垂,https://jbk.39.net/wxc/
胃肠神经官能症,https://jbk.39.net/wcdgnwl/
扁桃体炎,https://jbk.39.net/btty/
败血症,https://jbk.39.net/bxz/
溃疡性结肠炎,https://jbk.39.net/kyxjcy/
慢性肝炎,https://jbk.39.net/mxgy/
肾盂肾炎,https://jbk.39.net/sysy/
脑动脉硬化症,https://jbk.39.net/ndmyhz/
亚急性甲状腺炎,https://jbk.39.net/yjxjzxy/
风热感冒,https://jbk.39.net/frgm/
血尿,https://jbk.39.net/xn/
血小板减少,https://jbk.39.net/zhengzhuang/xxbjs/
肾功能不全,https://jbk.39.net/mxsgnsj/
重症肌无力,https://jbk.39.net/zzjwl/
左下腹痛,https://jbk.39.net/zhengzhuang/zxft/
蛛网膜下腔出血,https://jbk.39.net/zwmxqcx/
食管炎,https://jbk.39.net/sgy/
肠易激综合征,https://jbk.39.net/cyjzhz/
水肿,https://jbk.39.net/zhengzhuang/sz/
肾炎,https://jbk.39.net/sy3/
血小板减少症,https://jbk.39.net/xxbjsz/
小腿水肿,https://jbk.39.net/zhengzhuang/xtsz/
颌下淋巴结肿大压痛,https://jbk.39.net/zhengzhuang/hxlbjzdyt/
胸闷,https://jbk.39.net/zhengzhuang/xm/
下肢深静脉血栓形成,https://jbk.39.net/xzsjmxsxc/
夜间盗汗,https://jbk.39.net/zhengzhuang/yjdh/
真菌感染,https://jbk.39.net/zhengzhuang/zjgr/
颈部淋巴结肿大,https://jbk.39.net/zhengzhuang/jblbjzd/
结肠息肉,https://jbk.39.net/jcxr/
川崎病,https://jbk.39.net/cqb/
反复发烧,https://jbk.39.net/zhengzhuang/fffs/
多发性骨髓瘤,https://jbk.39.net/dfxgsl/
下腹坠胀,https://jbk.39.net/zhengzhuang/xfzz/
甲状腺炎,https://jbk.39.net/jzxy/
新生儿肺炎,https://jbk.39.net/xsefy/
急性胆囊炎,https://jbk.39.net/jxdny/
多尿,https://jbk.39.net/zhengzhuang/dn/
恶心,https://jbk.39.net/zhengzhuang/ex/
耳后淋巴结肿大,https://jbk.39.net/zhengzhuang/ehlbjzd/
干燥综合征,https://jbk.39.net/gzzhz/
肝损伤,https://jbk.39.net/gss/
下肢浮肿,https://jbk.39.net/zhengzhuang/xzsz/
下腹疼痛,https://jbk.39.net/zhengzhuang/xftt/
肋间神经痛,https://jbk.39.net/ljsjt/
慢性淋巴结炎,https://jbk.39.net/mxlbjy/
消瘦,https://jbk.39.net/zhengzhuang/xs/
结核性胸膜炎,https://jbk.39.net/jhxxmy/
病毒性心肌炎,https://jbk.39.net/bdxxjy/
太阳穴胀痛,https://jbk.39.net/zhengzhuang/tyxzt/
系统性红斑狼疮,https://jbk.39.net/xtxhblc/
肺部感染,https://jbk.39.net/zhengzhuang/fbgr/
过敏性哮喘,https://jbk.39.net/gmxxc/
神经痛,https://jbk.39.net/zhengzhuang/sjt/
白细胞减少,https://jbk.39.net/zhengzhuang/bxbjs/
眼睑浮肿,https://jbk.39.net/zhengzhuang/yjfz/
肺纹理增多,https://jbk.39.net/zhengzhuang/fwlzd/
急性心肌梗死,https://jbk.39.net/jxxjgs/
糖尿病酮症酸中毒,https://jbk.39.net/tnbtzszd/
眼皮跳,https://jbk.39.net/zhengzhuang/ypt/
血栓形成,https://jbk.39.net/xsxc/
神经官能症,https://jbk.39.net/sjz/
糖尿病肾病,https://jbk.39.net/tnbsb/
功能性消化不良,https://jbk.39.net/gnxxhbl/
胸膜炎,https://jbk.39.net/xmy/
胆管癌,https://jbk.39.net/dga/
干咳,https://jbk.39.net/zhengzhuang/gk/
营养不良,https://jbk.39.net/yybl/
病毒性脑炎,https://jbk.39.net/bdxnmy/
酒精中毒,https://jbk.39.net/jjzd/
呼吸困难,https://jbk.39.net/zhengzhuang/hxkn/
肺癌,https://jbk.39.net/fa/
肺热咳嗽,https://jbk.39.net/frks/
低钾血症,https://jbk.39.net/djxz/
硬皮病,https://jbk.39.net/ypb/
高血压危象,https://jbk.39.net/gxywx/
便血,https://jbk.39.net/zhengzhuang/bx/
细菌性痢疾,https://jbk.39.net/xjxlj/
咳痰,https://jbk.39.net/zhengzhuang/kt/
胸骨后疼痛,https://jbk.39.net/zhengzhuang/xghtt/
胆囊癌,https://jbk.39.net/dna/
睡美人症候群,https://jbk.39.net/smrzhq/
胃食管反流病,https://jbk.39.net/wsgflb/
阿斯匹林不耐受三联症,https://jbk.39.net/asplbnsslz/
急性白血病,https://jbk.39.net/jxbxb/
阵发性室上性心动过速,https://jbk.39.net/zfxssxxdgs/
肝区痛,https://jbk.39.net/zhengzhuang/gqt/
肺栓塞,https://jbk.39.net/fss/
臀部疼痛,https://jbk.39.net/zhengzhuang/tbtt/
恶性淋巴瘤,https://jbk.39.net/exlbl/
溶血性贫血,https://jbk.39.net/rxxpx/
慢性腹泻,https://jbk.39.net/mxfx/
母乳性黄疸,https://jbk.39.net/mrxhd/
感冒,https://jbk.39.net/gm/
脑血管痉挛,https://jbk.39.net/zhengzhuang/nxgjl/
呕吐,https://jbk.39.net/ot/
低烧,https://jbk.39.net/zhengzhuang/dr/
右下腹痛,https://jbk.39.net/zhengzhuang/yxft/
蛲虫病,https://jbk.39.net/ncb/
克罗恩病,https://jbk.39.net/kleb/
胃、十二指肠溃疡出血,https://jbk.39.net/wsezckycx/
交感神经型颈椎病,https://jbk.39.net/jgsjxjzb/
心动过缓,https://jbk.39.net/zhengzhuang/xdgh/
腺样体肥大,https://jbk.39.net/xytfd/
打嗝,https://jbk.39.net/zhengzhuang/dg/
甲状腺肿,https://jbk.39.net/zhengzhuang/jzxz/
肠胃炎,https://jbk.39.net/wcy/
蛋白尿,https://jbk.39.net/zhengzhuang/dbn/
椎动脉型颈椎病,https://jbk.39.net/zdmxjzb/
肺动脉高压,https://jbk.39.net/fdmgy/
紫癜,https://jbk.39.net/zhengzhuang/zd/
血友病,https://jbk.39.net/xyb/
铅中毒,https://jbk.39.net/qzd/
房颤,https://jbk.39.net/xfcd/
红斑狼疮,https://jbk.39.net/hblc/
小儿肥胖症,https://jbk.39.net/xefpz/
肠鸣,https://jbk.39.net/zhengzhuang/cm/
风湿热,https://jbk.39.net/fsr/
脸色发黄,https://jbk.39.net/zhengzhuang/lsfh/
心力衰竭,https://jbk.39.net/xlsj/
阻塞性肺气肿,https://jbk.39.net/zsxfqz/
胃窦炎,https://jbk.39.net/wdy/
结节性甲状腺肿,https://jbk.39.net/jjxjzxz/
肺气虚,https://jbk.39.net/fqx/
脑干出血,https://jbk.39.net/zhengzhuang/ngcx/
打呼噜,https://jbk.39.net/zhengzhuang/dhl/
直肠脱垂,https://jbk.39.net/zctc/
小儿脑瘫,https://jbk.39.net/xent/
小儿支原体肺炎,https://jbk.39.net/xezytfy/
不明原因发热,https://jbk.39.net/zhengzhuang/bmyyfr/
肾病,https://jbk.39.net/sb/
妊娠糖尿病,https://jbk.39.net/rsqtnb/
胃痉挛,https://jbk.39.net/zhengzhuang/wjl/
心率过缓,https://jbk.39.net/zhengzhuang/xlgh/
轮状病毒性肠炎,https://jbk.39.net/lzbdxcy/
食管裂孔疝,https://jbk.39.net/sglks/
原发性高血压,https://jbk.39.net/yfxgxy/
下腹坠痛,https://jbk.39.net/zhengzhuang/xfzt/
急性肾盂肾炎,https://jbk.39.net/jxsysy/
脊髓型颈椎病,https://jbk.39.net/jsxjzb/
肠道功能紊乱,https://jbk.39.net/zhengzhuang/cdgnwl/
红细胞分布宽度偏低,https://jbk.39.net/zhengzhuang/hxbfbkdpd/
1型糖尿病,https://jbk.39.net/ixtnb/
后脑勺疼,https://jbk.39.net/zhengzhuang/hnst/
尿蛋白,https://jbk.39.net/zhengzhuang/ndb/
疲劳,https://jbk.39.net/zhengzhuang/pl/
血管硬化,https://jbk.39.net/zhengzhuang/xgyh/
胸闷憋气,https://jbk.39.net/zhengzhuang/xmbq/
肌萎缩侧索硬化症,https://jbk.39.net/jwscsyhz/
腹膜炎,https://jbk.39.net/fmy/
蜘蛛痣,https://jbk.39.net/zzz/
男子乳房发育症,https://jbk.39.net/nzrffyz/
白塞病,https://jbk.39.net/bsb/
胃部隐痛,https://jbk.39.net/zhengzhuang/wbyt/
多梦,https://jbk.39.net/zhengzhuang/dm/
大肠息肉,https://jbk.39.net/dcxr/
肠痉挛,https://jbk.39.net/zhengzhuang/cjl/
幽门梗阻,https://jbk.39.net/ymgz/
尿崩症,https://jbk.39.net/nbz/
咳嗽变异性哮喘,https://jbk.39.net/ksxxc/
嗜铬细胞瘤,https://jbk.39.net/sgxbl/
新生儿败血症,https://jbk.39.net/xsebxz/
秃头,https://jbk.39.net/tt/
痰中带血丝,https://jbk.39.net/zhengzhuang/tzdxs/
上消化道出血,https://jbk.39.net/sxhdcx/
嗳气,https://jbk.39.net/zhengzhuang/aq/
肾衰,https://jbk.39.net/jxsgnsj/
心包积液,https://jbk.39.net/xbjy/
一咳嗽胸口就疼,https://jbk.39.net/zhengzhuang/yksxkjt/
消化道出血,https://jbk.39.net/xhdcx/
心动过速,https://jbk.39.net/zhengzhuang/xdgs/
癫痫,https://jbk.39.net/dx/
尿隐血,https://jbk.39.net/zhengzhuang/nyx/
怕冷,https://jbk.39.net/zhengzhuang/wh/
肝性脑病,https://jbk.39.net/gxnb/
短暂性脑缺血发作,https://jbk.39.net/dzxnqxfz/
小儿抽动症,https://jbk.39.net/xecdz/
心慌气短,https://jbk.39.net/zhengzhuang/xhqd/
儿童遗尿症,https://jbk.39.net/etynz/
念珠菌病,https://jbk.39.net/nzjb/
脸色发黑,https://jbk.39.net/zhengzhuang/lsfh1/
呃逆症,https://jbk.39.net/enz/
猝死,https://jbk.39.net/cs/
大叶性肺炎,https://jbk.39.net/dyxfy/
慢性支气管炎,https://jbk.39.net/mxzqgy/
白喉,https://jbk.39.net/bh/
颈动脉斑块,https://jbk.39.net/zhengzhuang/jdmbk/
痢疾,https://jbk.39.net/lj1/
右束支传导阻滞,https://jbk.39.net/yszcdzz/
腹部肿块,https://jbk.39.net/zhengzhuang/fbzk/
儿童腹痛,https://jbk.39.net/etft/
性早熟,https://jbk.39.net/xzs/
肺水肿,https://jbk.39.net/fsz/
浅表淋巴结肿大,https://jbk.39.net/zhengzhuang/qblbjzd/
巴来特(Barrett)食管,https://jbk.39.net/barrettsg/
视神经炎,https://jbk.39.net/ssjy/
胆囊切除术后综合征,https://jbk.39.net/dnqcshzhz/
持续低烧,https://jbk.39.net/zhengzhuang/cxds/
结节性红斑,https://jbk.39.net/jjxhb/
小儿流行性感冒,https://jbk.39.net/xelhxgm/
打喷嚏,https://jbk.39.net/zhengzhuang/dpt/
胃火,https://jbk.39.net/zhengzhuang/wh1/
贫血,https://jbk.39.net/px/
蛔虫病,https://jbk.39.net/hcb/
肠子胀气,https://jbk.39.net/zhengzhuang/czq/
COPD,https://jbk.39.net/mxzsxfjb/
病毒性支气管炎,https://jbk.39.net/bdxzqgy/
手足麻木,https://jbk.39.net/zhengzhuang/szmm/
淋巴管炎,https://jbk.39.net/lbgy/
乏力,https://jbk.39.net/zhengzhuang/fl/
紧张性头痛,https://jbk.39.net/jzxtt/
窦性心律不齐,https://jbk.39.net/dxxlsc/
甲状腺肿大,https://jbk.39.net/zhengzhuang/jzxzd/
慢性肺源性心脏病,https://jbk.39.net/mxfyxxzb/
心肌桥,https://jbk.39.net/xjq/
真性红细胞增多症,https://jbk.39.net/zxhxbzdz/
颈动脉硬化,https://jbk.39.net/jdmyh/
神经性耳聋,https://jbk.39.net/zhengzhuang/sjxel/
主动脉夹层,https://jbk.39.net/zdmjc/
慢性乙肝,https://jbk.39.net/mxyg/
SAS,https://jbk.39.net/hz/
神经炎,https://jbk.39.net/sjy/
右上腹痛,https://jbk.39.net/zhengzhuang/ysft/
多毛症,https://jbk.39.net/dmz/
慢性糜烂性胃炎,https://jbk.39.net/mxmlxwy/
肝功能异常,https://jbk.39.net/zhengzhuang/ggnyc/
主动脉硬化,https://jbk.39.net/zdmyh/
体温过低,https://jbk.39.net/twgd/
老年人小腿浮肿,https://jbk.39.net/zhengzhuang/lnrxtfz/
腰部钝痛,https://jbk.39.net/zhengzhuang/ybdt/
血小板减少性紫癜,https://jbk.39.net/xxbjsxzd/
上腹不适,https://jbk.39.net/zhengzhuang/sfbs/
皮肌炎,https://jbk.39.net/pjy/
脱水,https://jbk.39.net/ts/
高钾血症,https://jbk.39.net/gjxz/
慢性咳嗽,https://jbk.39.net/mxks/
喉炎,https://jbk.39.net/hy3/
睡眠障碍,https://jbk.39.net/smza/
房室传导阻滞,https://jbk.39.net/fscdzz/
高血压肾病,https://jbk.39.net/gxysb/
紫癜性肾炎,https://jbk.39.net/zdxsy/
食欲不振,https://jbk.39.net/zhengzhuang/sybz/
夏季感冒,https://jbk.39.net/ssgm/
呼吸异常,https://jbk.39.net/zhengzhuang/hxyc/
SARS,https://jbk.39.net/fd/
小儿呕吐,https://jbk.39.net/xeot/
老年人低血糖症,https://jbk.39.net/lnrdxtz/
老年人慢性支气管炎,https://jbk.39.net/lnrmxzqgy/
肺积水,https://jbk.39.net/zhengzhuang/fjs/
面部浮肿,https://jbk.39.net/zhengzhuang/mbfz/
小儿癫痫,https://jbk.39.net/xedx/
胃肠气胀,https://jbk.39.net/zhengzhuang/wcqz/
HIV感染,https://jbk.39.net/zhengzhuang/hivgr/
视神经萎缩,https://jbk.39.net/ssjws/
四肢无力,https://jbk.39.net/zhengzhuang/szwl/
特发性血小板减少性紫癜,https://jbk.39.net/tfxxxbjsxzd/
运动神经元病,https://jbk.39.net/ydsjyb/
脑萎缩,https://jbk.39.net/wns/
老年人高血压,https://jbk.39.net/lnrgxy/
气短,https://jbk.39.net/zhengzhuang/qd/
糖尿,https://jbk.39.net/zhengzhuang/tn/
疼痛,https://jbk.39.net/zhengzhuang/tt1/
吸入性肺炎,https://jbk.39.net/xrxfy/
多囊卵巢,https://jbk.39.net/zhengzhuang/dnlc/
大便失禁,https://jbk.39.net/dbsj/
病毒性肺炎,https://jbk.39.net/bdxfy/
面肌痉挛,https://jbk.39.net/mjjl/
盗汗,https://jbk.39.net/zhengzhuang/dh1/
梅尼埃病,https://jbk.39.net/mnab/
多囊肾,https://jbk.39.net/dns/
强直性脊柱炎,https://jbk.39.net/qzxjzy/
肥胖,https://jbk.39.net/zhengzhuang/fp/
链球菌感染,https://jbk.39.net/lqjgr1/
肝脓肿,https://jbk.39.net/gnz2/
小儿缺铁性贫血,https://jbk.39.net/xeqtxpx/
颈动脉狭窄,https://jbk.39.net/jdmxz/
肝豆状核变性,https://jbk.39.net/gdzhbx/
多发性硬化,https://jbk.39.net/dfxyh/
库欣综合征,https://jbk.39.net/kxzhz/
雌激素不足,https://jbk.39.net/zhengzhuang/cjsbz/
脾肿大,https://jbk.39.net/zhengzhuang/pzd/
骨髓增生异常综合征,https://jbk.39.net/gszsyczhz/
睡眠呼吸暂停综合征,https://jbk.39.net/smhxztzhz/
大便变细形似铅笔,https://jbk.39.net/zhengzhuang/dbbxxsqb/
腹部不适,https://jbk.39.net/zhengzhuang/fbbs/
风湿性多肌痛,https://jbk.39.net/fsxdjt/
脑鸣,https://jbk.39.net/nm1/
小儿便秘,https://jbk.39.net/xebm/
下腹胀痛,https://jbk.39.net/zhengzhuang/xfzt1/
肠结核,https://jbk.39.net/cjh/
主动脉瓣关闭不全,https://jbk.39.net/zdmbgbbq/
神经病,https://jbk.39.net/sjb/
先天性巨结肠,https://jbk.39.net/xtxjjc/
单纯性甲状腺肿,https://jbk.39.net/dcxjzxz/
亚硝酸盐中毒,https://jbk.39.net/yxsyzd/
甲状腺功能低下,https://jbk.39.net/zhengzhuang/jzxgndx/
心肌病,https://jbk.39.net/xjb/
眶上神经痛,https://jbk.39.net/kssjt/
格林－巴利综合征,https://jbk.39.net/glblzhz/
脾功能亢进,https://jbk.39.net/pgnkj/
枕大神经痛,https://jbk.39.net/zdsjt/
位置性眩晕,https://jbk.39.net/wzxxy/
肝硬化男性性功能减弱综合征,https://jbk.39.net/gyhnxxgnjrzhz/
病毒性咽炎,https://jbk.39.net/bdxyy/
肺不张,https://jbk.39.net/fbz/
肺气肿,https://jbk.39.net/fqz/
结节病,https://jbk.39.net/jjb/
痰饮,https://jbk.39.net/ty/
老年人糖尿病,https://jbk.39.net/lnrtnb/
多发性肌炎,https://jbk.39.net/dfxjy/
慢性肾盂肾炎,https://jbk.39.net/mxsysy/
肠套叠,https://jbk.39.net/ctd/
预激综合征,https://jbk.39.net/yjzhz/
心率不齐,https://jbk.39.net/zhengzhuang/xlbq/
贲门失弛缓症,https://jbk.39.net/bmschz/
女性体毛多,https://jbk.39.net/zhengzhuang/nxtmd/
非霍奇金淋巴瘤,https://jbk.39.net/fhqjlbl/
嗜睡症,https://jbk.39.net/ssz1/
大腿刺痛,https://jbk.39.net/zhengzhuang/dtct/
腹水,https://jbk.39.net/zhengzhuang/fs1/
抽筋,https://jbk.39.net/zhengzhuang/cj/
前额头痛,https://jbk.39.net/zhengzhuang/qett/
红细胞压积偏高,https://jbk.39.net/zhengzhuang/hxbyjpg/
脑血栓形成,https://jbk.39.net/nxsxc/
原发性醛固酮增多症,https://jbk.39.net/yfxqgtzdz/
肠道菌群失调症,https://jbk.39.net/cdjqstz/
心慌,https://jbk.39.net/zhengzhuang/xh/
肾血管性高血压,https://jbk.39.net/sxgxgxy/
烟雾病,https://jbk.39.net/ywb/
嗜睡,https://jbk.39.net/zhengzhuang/ss/
盘状红斑狼疮,https://jbk.39.net/pzhblc/
白细胞减少症和粒细胞缺乏症,https://jbk.39.net/bxbjszhlxbqfz/
息肉,https://jbk.39.net/zhengzhuang/xr1/
脊柱炎,https://jbk.39.net/jzy1/
肺脓肿,https://jbk.39.net/fnz/
老年人肺炎,https://jbk.39.net/lnrfy/
雄激素过多,https://jbk.39.net/zhengzhuang/xjsgd/
乳糜尿,https://jbk.39.net/rmn/
不安腿综合征,https://jbk.39.net/batzhz/
克兰费尔特综合征,https://jbk.39.net/klfetzhz/
胸部隐痛,https://jbk.39.net/zhengzhuang/xbyt/
晕动病,https://jbk.39.net/ydb1/
血管神经性水肿,https://jbk.39.net/xgsjxsz/
慢性心力衰竭,https://jbk.39.net/mxxlsj/
慢性肺炎,https://jbk.39.net/mxfy/
老年眩晕,https://jbk.39.net/lnxy/
烧心,https://jbk.39.net/zhengzhuang/sx/
丛集性头痛,https://jbk.39.net/cjxtt/
瘫痪,https://jbk.39.net/th1/
下腹痛,https://jbk.39.net/zhengzhuang/xft/
小儿结核病,https://jbk.39.net/xejhb/
苯丙酮尿症,https://jbk.39.net/bbtnz/
胃病,https://jbk.39.net/wb/
干性咳嗽,https://jbk.39.net/zhengzhuang/gxks/
急性支气管炎,https://jbk.39.net/jxzqgy/
儿童睡眠障碍,https://jbk.39.net/etsmza/
肾区叩击痛,https://jbk.39.net/zhengzhuang/sqkjt/
结核性腹膜炎,https://jbk.39.net/jhxfmy/
慢性溃疡性结肠炎,https://jbk.39.net/mxkyxjcy/
肾结核,https://jbk.39.net/sjh/
小儿肠套叠,https://jbk.39.net/xectd/
扩张型心肌病,https://jbk.39.net/kzxxjb/
梦游,https://jbk.39.net/zhengzhuang/myz/
热感冒,https://jbk.39.net/srgm/
巨幼细胞性贫血,https://jbk.39.net/jyxbxpx/
入睡困难,https://jbk.39.net/zhengzhuang/rskn/
睡觉流口水,https://jbk.39.net/zhengzhuang/sjlks/
缺血性心肌病,https://jbk.39.net/qxxxjb/
低钠血症,https://jbk.39.net/dnxz/
额头长痘,https://jbk.39.net/zhengzhuang/etzd/
ARDS,https://jbk.39.net/crhxjpzhz/
心窝部隐痛,https://jbk.39.net/zhengzhuang/xwbyt/
腹部压痛,https://jbk.39.net/zhengzhuang/fbyt/
腹腔积液,https://jbk.39.net/zhengzhuang/fqjy/
急性脊髓炎,https://jbk.39.net/jxjsy/
舌苔黄,https://jbk.39.net/zhengzhuang/sth/
肾虚,https://jbk.39.net/sx1/
粪便硬结如羊粪状,https://jbk.39.net/zhengzhuang/fbyjryfz/
腔隙性脑梗死,https://jbk.39.net/qxxngs/
皮疹,https://jbk.39.net/zhengzhuang/pz1/
老年人尿路感染,https://jbk.39.net/lnrnlgr/
尿急,https://jbk.39.net/zhengzhuang/nj/
转氨酶增高,https://jbk.39.net/zhengzhuang/zamzg/
淋巴结肿大,https://jbk.39.net/zhengzhuang/lbjzd/
单侧头痛,https://jbk.39.net/zhengzhuang/dctt/
不稳定型心绞痛,https://jbk.39.net/bwdxxjt/
流行性出血热,https://jbk.39.net/lhxcxr/
胃肠感冒,https://jbk.39.net/zhengzhuang/wcgm/
排便困难,https://jbk.39.net/zhengzhuang/pbkn/
老年人低血压,https://jbk.39.net/lnrdxy/
脑缺氧,https://jbk.39.net/zhengzhuang/nqy/
吸收不良综合征,https://jbk.39.net/xsblzhz/
新生儿惊厥,https://jbk.39.net/xsejj/
脊髓空洞症,https://jbk.39.net/jskdz/
静脉血栓,https://jbk.39.net/zhengzhuang/jmxs/
房间隔缺损,https://jbk.39.net/fjgqs/
大便粘腻,https://jbk.39.net/zhengzhuang/dbzn/
腹部肥满,https://jbk.39.net/zhengzhuang/fbfm/
细菌感染,https://jbk.39.net/zhengzhuang/xjgr/
代谢性酸中毒,https://jbk.39.net/dxxszd/
糖尿病足,https://jbk.39.net/tnbz/
神经纤维瘤,https://jbk.39.net/sjxwl/
十二指肠炎,https://jbk.39.net/sezcy/
急性肠胃炎,https://jbk.39.net/jxwcy/
扁桃体周围脓肿,https://jbk.39.net/bttzwnz/
心衰,https://jbk.39.net/jxxgnbq/
嗜酸性粒细胞增多,https://jbk.39.net/zhengzhuang/ssxlxbzd/
青春期肥胖,https://jbk.39.net/zhengzhuang/qcqfp/
心前区隐痛,https://jbk.39.net/zhengzhuang/xqqyt/
头昏,https://jbk.39.net/zhengzhuang/th/
腋下淋巴肿大,https://jbk.39.net/zhengzhuang/yxlbzd/
狼疮性肾炎,https://jbk.39.net/lcxsy/
毒性弥漫性甲状腺肿,https://jbk.39.net/dxmmxjzxz/
